loja,sku,dt_contagem,qtd
L001,SKU0001,2026-07-31,92
L001,SKU0002,2026-07-31,76
L001,SKU0003,2026-07-31,78
L001,SKU0006,2026-07-31,226
L001,SKU0008,2026-07-31,124
L001,SKU0009,2026-07-31,108
L001,SKU0010,2026-07-31,6
L001,SKU0011,2026-07-31,2
L001,SKU0012,2026-07-31,9
L001,SKU0013,2026-07-31,169
L001,SKU0014,2026-07-31,125
L001,SKU0015,2026-07-31,144
L001,SKU0016,2026-07-31,117
L001,SKU0017,2026-07-31,180
L001,SKU0018,2026-07-31,130
L001,SKU0019,2026-07-31,5
L001,SKU0020,2026-07-31,7
L001,SKU0022,2026-07-31,138
L001,SKU0023,2026-07-31,203
L001,SKU0024,2026-07-31,186
L001,SKU0025,2026-07-31,107
L002,SKU0001,2026-07-31,86
L002,SKU0002,2026-07-31,53
L002,SKU0003,2026-07-31,105
L002,SKU0005,2026-07-31,22
L002,SKU0006,2026-07-31,158
L002,SKU0007,2026-07-31,139
L002,SKU0008,2026-07-31,98
L002,SKU0010,2026-07-31,244
L002,SKU0012,2026-07-31,197
L002,SKU0013,2026-07-31,99
L002,SKU0014,2026-07-31,158
L002,SKU0015,2026-07-31,139
L002,SKU0016,2026-07-31,3
L002,SKU0017,2026-07-31,158
L002,SKU0019,2026-07-31,75
L002,SKU0020,2026-07-31,87
L002,SKU0021,2026-07-31,114
L002,SKU0022,2026-07-31,120
L002,SKU0023,2026-07-31,39
L002,SKU0025,2026-07-31,6
L003,SKU0002,2026-07-31,104
L003,SKU0003,2026-07-31,6
L003,SKU0004,2026-07-31,142
L003,SKU0007,2026-07-31,55
L003,SKU0008,2026-07-31,245
L003,SKU0009,2026-07-31,54
L003,SKU0010,2026-07-31,276
L003,SKU0012,2026-07-31,110
L003,SKU0013,2026-07-31,41
L003,SKU0015,2026-07-31,61
L003,SKU0018,2026-07-31,81
L003,SKU0019,2026-07-31,127
L003,SKU0020,2026-07-31,181
L003,SKU0021,2026-07-31,113
L003,SKU0022,2026-07-31,164
L003,SKU0024,2026-07-31,265
L003,SKU0025,2026-07-31,106
L004,SKU0001,2026-07-31,76
L004,SKU0004,2026-07-31,104
L004,SKU0005,2026-07-31,160
L004,SKU0006,2026-07-31,138
L004,SKU0007,2026-07-31,171
L004,SKU0008,2026-07-31,116
L004,SKU0009,2026-07-31,57
L004,SKU0010,2026-07-31,93
L004,SKU0011,2026-07-31,63
L004,SKU0012,2026-07-31,130
L004,SKU0013,2026-07-31,94
L004,SKU0014,2026-07-31,188
L004,SKU0016,2026-07-31,224
L004,SKU0018,2026-07-31,150
L004,SKU0019,2026-07-31,235
L004,SKU0020,2026-07-31,257
L004,SKU0021,2026-07-31,172
L004,SKU0023,2026-07-31,88
L004,SKU0024,2026-07-31,101
L005,SKU0001,2026-07-31,216
L005,SKU0004,2026-07-31,127
L005,SKU0006,2026-07-31,94
L005,SKU0007,2026-07-31,184
L005,SKU0008,2026-07-31,131
L005,SKU0009,2026-07-31,172
L005,SKU0010,2026-07-31,187
L005,SKU0011,2026-07-31,188
L005,SKU0012,2026-07-31,121
L005,SKU0014,2026-07-31,102
L005,SKU0015,2026-07-31,213
L005,SKU0016,2026-07-31,113
L005,SKU0017,2026-07-31,15
L005,SKU0018,2026-07-31,227
L005,SKU0019,2026-07-31,78
L005,SKU0021,2026-07-31,99
L005,SKU0022,2026-07-31,36
L005,SKU0024,2026-07-31,68
L006,SKU0001,2026-07-31,149
L006,SKU0002,2026-07-31,134
L006,SKU0003,2026-07-31,107
L006,SKU0004,2026-07-31,91
L006,SKU0006,2026-07-31,298
L006,SKU0007,2026-07-31,158
L006,SKU0008,2026-07-31,138
L006,SKU0009,2026-07-31,95
L006,SKU0010,2026-07-31,191
L006,SKU0011,2026-07-31,256
L006,SKU0012,2026-07-31,140
L006,SKU0013,2026-07-31,49
L006,SKU0014,2026-07-31,185
L006,SKU0015,2026-07-31,83
L006,SKU0016,2026-07-31,152
L006,SKU0017,2026-07-31,113
L006,SKU0018,2026-07-31,6
L006,SKU0019,2026-07-31,114
L006,SKU0020,2026-07-31,1
L006,SKU0021,2026-07-31,18
L006,SKU0022,2026-07-31,302
L006,SKU0023,2026-07-31,202
L006,SKU0024,2026-07-31,219
L006,SKU0025,2026-07-31,131
L007,SKU0002,2026-07-31,196
