loja,sku,dt_foto,qtd
L001,SKU0004,2026-04-01,26
L001,SKU0010,2026-04-01,64
L001,SKU0011,2026-04-01,75
L001,SKU0019,2026-04-01,66
L001,SKU0020,2026-04-01,60
L002,SKU0016,2026-04-01,44
L002,SKU0025,2026-04-01,59
L003,SKU0003,2026-04-01,71
L003,SKU0014,2026-04-01,18
L003,SKU0023,2026-04-01,20
L004,SKU0003,2026-04-01,22
L004,SKU0022,2026-04-01,29
L006,SKU0018,2026-04-01,52
L006,SKU0020,2026-04-01,96
L007,SKU0011,2026-04-01,80
L007,SKU0018,2026-04-01,38
L007,SKU0019,2026-04-01,74
L009,SKU0001,2026-04-01,27
L009,SKU0003,2026-04-01,54
L009,SKU0007,2026-04-01,66
L010,SKU0004,2026-04-01,21
L010,SKU0008,2026-04-01,20
L010,SKU0025,2026-04-01,55
L012,SKU0022,2026-04-01,76
L014,SKU0009,2026-04-01,15
L015,SKU0001,2026-04-01,82
L015,SKU0021,2026-04-01,104
L016,SKU0002,2026-04-01,22
L016,SKU0008,2026-04-01,70
L016,SKU0013,2026-04-01,79
L016,SKU0014,2026-04-01,19
L019,SKU0009,2026-04-01,21
L019,SKU0016,2026-04-01,67
L019,SKU0025,2026-04-01,31
L020,SKU0003,2026-04-01,78
L020,SKU0007,2026-04-01,49
L020,SKU0014,2026-04-01,88
